평일공휴일구분,호선,상하선구분,역명,혼잡율(5시),혼잡율(6시),혼잡율(7시),혼잡율(8시),혼잡율(9시),혼잡율(10시),혼잡율(11시),혼잡율(12시),혼잡율(13시),혼잡율(14시),혼잡율(15시),혼잡율(16시),혼잡율(17시),혼잡율(18시),혼잡율(19시),혼잡율(20시),혼잡율(21시),혼잡율(22시),혼잡율(23시),혼잡율(24시)
평일,의정부경전철,상선,송산,1.57,1.1,1.86,5.94,3.92,3.76,3.56,6.78,4.9,3.32,3.71,4.16,3.57,2.65,1.31,1.04,1.04,0.84,1.16,0
평일,의정부경전철,상선,어룡,4.13,2.33,4.11,11.44,8.38,9.21,8.81,13.12,10.5,8.56,8.96,8.66,8.06,6.61,3.47,2.97,2.72,2.13,2.97,0.25
평일,의정부경전철,상선,곤제,6.52,4.53,7.57,22.31,16.37,15.69,15,20.25,18.76,14.5,15.2,15.84,14.82,14.97,8.24,6.93,6.24,4.75,5.86,1.49
평일,의정부경전철,상선,효자,7.67,5.45,8.65,26.18,18.96,18.56,17.23,22.52,20.69,16.19,16.73,17.03,16.02,16.28,9.23,7.87,6.73,5.25,6.19,1.49
평일,의정부경전철,상선,경기도청북부청사,7.92,5.59,8.71,25.86,20.18,20.2,18.86,23.51,21.68,17.52,19.06,19.75,18.56,16.86,9.65,8.02,6.93,5.45,6.68,1.49
평일,의정부경전철,상선,새말,8.5,5.91,9.64,28.01,22.24,22.72,21.53,27.03,25,21.09,23.96,25.1,22.77,21.37,12.59,11.88,10.5,9.16,9.08,2.72
평일,의정부경전철,상선,동오,9.74,6.44,10.92,32.82,25.63,25.64,23.81,29.26,27.92,23.37,26.24,26.93,24.33,22.31,13.37,12.48,10.89,9.21,9.57,3.71
평일,의정부경전철,상선,의정부중앙,10.97,7.11,11.76,36.87,29.17,28.17,26.19,31.14,31.19,24.55,27.52,27.48,24.65,22.28,13.72,13.22,11.44,9.7,9.65,3.47
평일,의정부경전철,상선,흥선,8.91,6.08,10.43,33.9,25.67,25.1,26.34,30.4,28.51,21.83,26.09,28.02,21.46,19.07,11.99,11.63,11.14,9.31,9.49,3.47
평일,의정부경전철,상선,의정부시청,9.49,6.12,9.9,29.62,24.68,25.1,26.09,29.36,27.97,20.89,24.26,25.99,19.94,17.36,10.61,10.25,9.75,7.52,8.17,3.47
평일,의정부경전철,상선,경전철의정부,8.5,5.87,8.56,21.05,22.09,23.61,25.1,24.75,23.42,19.36,24.01,25.5,19.38,17.85,10.36,9.95,10.05,7.52,8,3.22
평일,의정부경전철,상선,범골,7.18,5.27,7.22,13.89,13.56,18.47,21.09,19.75,18.27,16.78,22.28,22.57,16.34,13.74,9.23,9.95,10.45,8.22,8.17,3.71
평일,의정부경전철,상선,회룡,7.76,5.62,7.13,13.48,14.13,18.76,20.59,18.17,16.68,14.36,18.81,17.33,12.84,10.22,6.93,7.28,7.28,5.79,5.45,2.23
평일,의정부경전철,상선,발곡,1.16,1.17,1.75,5.21,3.16,3.61,6.73,5.79,5.59,6.63,9.5,9.46,6.97,5.56,4.6,5.1,4.9,3.96,3.47,2.23
평일,의정부경전철,하선,회룡,3.71,2.38,3.84,9.96,6.31,7.67,7.38,9.16,8.37,5.74,6.39,6.78,5.54,3.64,1.95,1.62,1.31,1.29,0.99,0
평일,의정부경전철,하선,범골,5.12,4.7,6.38,15.96,8.94,12.92,13.76,17.62,18.47,16.93,19.65,22.82,20.7,12.06,8.66,8.69,7.43,6.29,4.88,1.73
평일,의정부경전철,하선,경전철의정부,6.44,6.24,8.27,21.32,12.96,15.89,16.53,20.1,21.58,19.11,20.3,21.93,22.41,13.66,8.91,9,7.7,6.39,5.09,1.73
평일,의정부경전철,하선,의정부시청,7.43,6.39,8.91,21.72,10.49,14.8,16.09,19.26,22.62,21.53,23.32,25.89,26.82,16.72,11.01,13.01,11.79,10.35,8.27,3.96
평일,의정부경전철,하선,흥선,7.59,6.04,8.79,20.36,10.92,15.05,17.67,22.23,22.92,22.67,29.11,29.5,28.62,20.47,12.16,14.36,13.37,11.39,8.63,4.21
평일,의정부경전철,하선,의정부중앙,8.91,6.98,9.7,22.8,12.65,17.23,19.5,24.26,25.2,24.01,31.24,31.34,30.42,21.67,12.84,14.54,13.46,11.19,8.56,4.21
평일,의정부경전철,하선,동오,8.75,7.62,9.93,24.32,11.01,15.25,19.36,24.16,24.9,25.3,34.85,37.87,35.01,24.11,15.41,17.28,16.56,14.06,11.53,7.43
평일,의정부경전철,하선,새말,9.32,7.43,9.44,28.04,11.11,14.75,17.87,22.67,23.66,23.37,32.52,34.5,31.82,21.35,13.86,16.2,15.39,12.92,10.82,6.68
평일,의정부경전철,하선,경기도청북부청사,8.83,7.03,9.09,28.92,10.98,13.86,16.04,18.86,21.58,21.68,30.45,31.39,28.71,19.25,12.59,14.54,13.46,11.09,9.41,6.44
평일,의정부경전철,하선,효자,6.85,5.15,7.28,24.69,8.08,10.2,11.73,14.65,16.53,17.43,25.94,26.29,23.27,16.05,10.83,12.24,12.6,10.54,8.49,5.2
평일,의정부경전철,하선,곤제,5.53,4.46,6.49,19.31,7.55,9.65,11.09,13.27,15.1,16.09,24.8,25.05,22.64,15.49,10.52,11.79,12.24,10.05,8.13,5.2
평일,의정부경전철,하선,어룡,4.87,4.11,5.74,18.32,6.96,9.06,9.9,11.78,13.37,14.21,22.28,21.98,19.58,13.16,9.25,10.31,10.85,8.86,7.07,4.21
