년월,요일,상_하행,열차번호,출발역,출발시간,도착역,도착시간,혼잡도,재차인원,영업일,최고혼잡역
2024-01,금요일,상행,1162,반석,17:48:00,판암,18:28:00,146,696,2024-01-19,탄방
2024-01,월요일,하행,1047,판암,08:12:00,반석,08:52:00,125,595,2024-01-08,용문
2024-02,금요일,상행,1164,반석,17:55:00,판암,18:35:00,144,685,2024-02-02,탄방
2024-02,화요일,하행,1049,판암,08:18:00,반석,08:58:00,127,604,2024-02-06,용문
2024-03,금요일,상행,1164,반석,17:55:00,판암,18:35:00,153,729,2024-03-15,탄방
2024-03,목요일,하행,1049,판암,08:18:00,반석,08:58:00,127,603,2024-03-21,용문
2024-04,금요일,상행,1162,반석,17:48:00,판암,18:28:00,153,726,2024-04-12,탄방
2024-04,월요일,하행,1049,판암,08:18:00,반석,08:58:00,131,622,2024-04-08,용문
2024-05,금요일,상행,1162,반석,17:48:00,판암,18:28:00,153,727,2024-05-10,탄방
2024-05,목요일,하행,1049,판암,08:18:00,반석,08:58:00,127,605,2024-05-02,용문
2024-06,금요일,상행,1162,반석,17:48:00,판암,18:28:00,146,694,2024-06-14,탄방
2024-06,수요일,하행,1047,판암,08:12:00,반석,08:52:00,163,774,2024-06-26,용문
2024-07,금요일,상행,1164,반석,17:55:00,판암,18:35:00,150,713,2024-07-12,탄방
2024-07,수요일,하행,1049,판암,08:18:00,반석,08:58:00,128,609,2024-07-01,용문
2024-08,금요일,상행,1156,반석,17:20:00,판암,18:00:00,182,864,2024-08-09,오룡
2024-08,토요일,하행,1221,판암,23:10:00,반석,00:10:00,146,694,2024-08-10,중구청
